"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL3960048";"";"None";"381.46";"0";"2.62";"BDBM205214";"CN(C)Cc1ccc(C(=O)Nc2sc(-c3ccncc3)nc2C(N)=O)cc1";"IC50";"'='";"1250.0";"nM";"5.90";"";"363281";"UO_0000065";"15.47";"0.30";"3.28";"5.83";"0";"CHEMBL3887915";"TBK1 Enzyme Assay: The kinase assay is performed as 384-well Flashplate assay assay (for e.g. Topcount measurement. 0.6 nM TANK binding kinase (TBK1), 800 nM biotinylated MELK-derived peptide (Biotin-Ah-Ah-AKPKGNKDYHLQTCCGSLAYRRR) SEQ ID NO: 2 and 10 μM ATP (spiked with 0.25 μCi 33P-ATP/well) are incubated in a total volume of 50 μl (10 mM MOPS, 10 mM Mg-acetat, 0.1 mM EGTA, 1 mM DTT, 0.02% Brij35, 0.1% BSA, pH 7.5) with or without test compound for 120 Min at 30° C. The reaction is stopped with 25 μl 200 mM EDTA. After 30 Min at room temperature the liquid is removed and each well washed thrice with 100 μl 0.9% sodium chloride solution. Nonspecific reaction is determined in presence of 100 nM Staurosporine. Radioactivity is measured in a Topcount (PerkinElmer).";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886503";"37";"BindingDB Database";"";"2016";"None";"";""
"CHEMBL3890128";"";"None";"411.49";"0";"1.75";"BDBM205218";"NC(=O)c1nc(-c2ccncc2)sc1NC(=O)c1cnn(CC2CCNCC2)c1";"IC50";"'='";"7900.0";"nM";"5.10";"";"363285";"UO_0000065";"12.40";"0.24";"3.35";"3.99";"0";"CHEMBL3887915";"TBK1 Enzyme Assay: The kinase assay is performed as 384-well Flashplate assay assay (for e.g. Topcount measurement. 0.6 nM TANK binding kinase (TBK1), 800 nM biotinylated MELK-derived peptide (Biotin-Ah-Ah-AKPKGNKDYHLQTCCGSLAYRRR) SEQ ID NO: 2 and 10 μM ATP (spiked with 0.25 μCi 33P-ATP/well) are incubated in a total volume of 50 μl (10 mM MOPS, 10 mM Mg-acetat, 0.1 mM EGTA, 1 mM DTT, 0.02% Brij35, 0.1% BSA, pH 7.5) with or without test compound for 120 Min at 30° C. The reaction is stopped with 25 μl 200 mM EDTA. After 30 Min at room temperature the liquid is removed and each well washed thrice with 100 μl 0.9% sodium chloride solution. Nonspecific reaction is determined in presence of 100 nM Staurosporine. Radioactivity is measured in a Topcount (PerkinElmer).";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886503";"37";"BindingDB Database";"";"2016";"None";"";""
"CHEMBL2207206";"";"None";"433.56";"0";"4.01";"19c";"Cc1nn(C)c2cc(Nc3ncc(C4CC4)c(NCCCNC(=O)C4CCC4)n3)ccc12";"IC50";"'='";"7.0";"nM";"8.15";"";"";"UO_0000065";"18.81";"0.35";"4.14";"8.43";"0";"CHEMBL2213811";"Inhibition of TBK1 by radiometry";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2203069";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";""
"CHEMBL2207178";"";"None";"446.28";"0";"3.14";"10e";"O=C(NCCCNc1nc(Nc2cccc(F)c2)ncc1Br)c1cnccn1";"IC50";"'='";"22.0";"nM";"7.66";"";"";"UO_0000065";"17.16";"0.37";"4.52";"7.31";"0";"CHEMBL2213811";"Inhibition of TBK1 by radiometry";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2203069";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";""
"CHEMBL3125731";"";"None";"408.48";"0";"3.74";"15";"COCCNC(=O)c1cc(-c2cnc3[nH]c(-c4ccc(OC)cc4)nc3c2)cs1";"IC50";"'='";"170.0";"nM";"6.77";"";"";"UO_0000065";"16.57";"0.32";"3.03";"7.60";"0";"CHEMBL3132510";"Inhibition of TBK1 in HEK293 cells after 4.5 hrs by ISRE-luciferase reporter gene assay in presence of poly I:C";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3124838";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"CHEMBL3307715";"";""
"CHEMBL3650747";"";"None";"471.57";"0";"2.58";"BDBM148131";"CN(C)CCNc1ccc(Nc2nccc(-c3ccc(N4CCC[C@@H]4C(N)=O)c(C#N)c3)n2)cn1";"IC50";"'<'";"300.0";"nM";"";"";"286112";"UO_0000065";"";"";"";"";"0";"CHEMBL3707833";"Time-Resolved Fluorescence-based Lanthascreen Assay: Inhibitions studies were performed using a time-resolved fluorescence-based Lanthascreen assay. Phosphorylation of a fluorescein-labelled substrate peptide is measured using terbium-labeled phosphospecific antibodies. Terbium is excited at 340 nm and the FRET energy transfer to fluorescein is measured at 495 and 520 nm. The emission ratio between 520 and 495 is a measure of the level of phosphorylation of the substrate by the kinase.Kinase inhibition assays (10 Î¼L) were performed at 20Â° C. in 384-well plate format. Compound IC50 values were determined at the apparent Km for ATP (20 Î¼M) based on a radiometric assay (Invitrogen) using 8 or 10 point curves in duplicate. The final reaction conditions contained 400 nM fluorescein-IkBÎ± substrate (DRHDSGLDSMKDE), 20 Î¼M ATP, 2 nM or 8 nM IKKÎµ or TBK1 kinase respectively, and 3% DMSO in kinase assay buffer consisting of 50 mM HEPES (pH 7.5), 10 mM MgCl, 1 mM EGTA, 0.01% Brij-35.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639223";"37";"BindingDB Database";"";"2015";"None";"";""
"CHEMBL2207184";"";"None";"371.46";"0";"3.64";"11";"CCc1cnc(Nc2cccc(F)c2)nc1NCCCNC(=O)C1CCC1";"IC50";"'='";"63.0";"nM";"7.20";"";"";"UO_0000065";"19.38";"0.36";"3.56";"9.12";"0";"CHEMBL2213811";"Inhibition of TBK1 by radiometry";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2203069";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";""
"CHEMBL3650735";"";"None";"456.55";"0";"2.48";"BDBM148119";"CN1CCN(c2ccc(Nc3nccc(-c4ccc(N5CC[C@H](O)C5)c(C#N)c4)n3)cn2)CC1";"IC50";"'<'";"30.0";"nM";"";"";"286100";"UO_0000065";"";"";"";"";"0";"CHEMBL3707833";"Time-Resolved Fluorescence-based Lanthascreen Assay: Inhibitions studies were performed using a time-resolved fluorescence-based Lanthascreen assay. Phosphorylation of a fluorescein-labelled substrate peptide is measured using terbium-labeled phosphospecific antibodies. Terbium is excited at 340 nm and the FRET energy transfer to fluorescein is measured at 495 and 520 nm. The emission ratio between 520 and 495 is a measure of the level of phosphorylation of the substrate by the kinase.Kinase inhibition assays (10 Î¼L) were performed at 20Â° C. in 384-well plate format. Compound IC50 values were determined at the apparent Km for ATP (20 Î¼M) based on a radiometric assay (Invitrogen) using 8 or 10 point curves in duplicate. The final reaction conditions contained 400 nM fluorescein-IkBÎ± substrate (DRHDSGLDSMKDE), 20 Î¼M ATP, 2 nM or 8 nM IKKÎµ or TBK1 kinase respectively, and 3% DMSO in kinase assay buffer consisting of 50 mM HEPES (pH 7.5), 10 mM MgCl, 1 mM EGTA, 0.01% Brij-35.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639223";"37";"BindingDB Database";"";"2015";"None";"";""
"CHEMBL2011898";"";"None";"487.45";"0";"4.23";"1d";"CN(C)CCNc1c(Br)cnc2[nH]c(-c3ccc(OCCN4CCCCC4)cc3)nc12";"IC50";"'='";"10300.0";"nM";"4.99";"";"";"UO_0000065";"10.23";"0.22";"0.76";"7.20";"0";"CHEMBL2013355";"Inhibition of recombinant TBK1 using 5FAM-AhxKRRAL(ps)VASLPGL as substrate by microfluidic mobility shift assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2010664";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";""
"CHEMBL2011914";"";"None";"372.27";"0";"4.03";"2l";"CNc1c(Br)cnc2[nH]c(-c3ccc(N4CCCC4)cc3)nc12";"IC50";"'='";"388.0";"nM";"6.41";"";"";"UO_0000065";"17.22";"0.38";"2.38";"11.28";"0";"CHEMBL2013355";"Inhibition of recombinant TBK1 using 5FAM-AhxKRRAL(ps)VASLPGL as substrate by microfluidic mobility shift assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2010664";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";""
